started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2023-12-01 05:50:21.687000+00:00,2023-12-01 05:56:07.143000+00:00,345,464,Sukkerbiten,ved gangbroen,59.905124380703484,10.753763553726515,2330,Stjerneplassen,Krysset Skippergata Storgata,59.91323316606503,10.749958763650312
2023-12-01 05:54:00.267000+00:00,2023-12-01 06:06:15.824000+00:00,735,488,Torshovparken vest,langs Per Kvibergs gate,59.93507,10.76915,549,Linaaes gate,langs Møllergata,59.91382393242077,10.745704482209018
2023-12-01 05:55:25.492000+00:00,2023-12-01 06:01:05.044000+00:00,339,521,Jess Carlsens gate,ved Hausmanns gate,59.9186359,10.7523939,599,Paléhaven,langs Strandgata,59.910331,10.75011
2023-12-01 05:56:25.847000+00:00,2023-12-01 05:58:42.390000+00:00,136,484,Karenslyst allé,ved Skabos vei,59.92033,10.683814,445,Sjølyst,Drammensveien ved rundkjøring,59.921673,10.67666
2023-12-01 05:57:20.921000+00:00,2023-12-01 06:02:27.676000+00:00,306,399,Uelands gate,Ved Ulvetrappen (Ilatrappen),59.929545,10.7489862,489,Torggata,ved Bernt Ankers gate,59.91598309274519,10.75155119076095
2023-12-01 05:57:57.949000+00:00,2023-12-01 06:03:59.805000+00:00,361,442,Vulkan,ved Maridalsveien,59.92251,10.75101,440,Lakkegata,ved Sundtkvartalet,59.9172088,10.7622135
2023-12-01 05:58:22.843000+00:00,2023-12-01 06:14:03.610000+00:00,940,421,Alexander Kiellands Plass,langs Maridalsveien,59.92806670615684,10.751202636819613,429,Thune,ved bomringen,59.92208,10.68588
2023-12-01 05:58:50.044000+00:00,2023-12-01 06:01:00.131000+00:00,130,465,Bjørvika,under broen Nylandsveien,59.909006,10.75618,552,Trelastgata,ved Nordenga bru,59.908004655328924,10.7625700380287
2023-12-01 06:00:47.851000+00:00,2023-12-01 06:05:58.638000+00:00,310,480,Helga Helgesens plass,langs Grønlandsleiret,59.9121109,10.7661939,443,Sjøsiden 1 ved trappen,to rader nærmest trappen,59.91014291324254,10.752003700187942
2023-12-01 06:01:04.151000+00:00,2023-12-01 06:26:03.478000+00:00,1499,421,Alexander Kiellands Plass,langs Maridalsveien,59.92806670615684,10.751202636819613,567,Forskningsveien,ved SINTEF,59.945450633702556,10.713867957672134
2023-12-01 06:04:00.385000+00:00,2023-12-01 06:09:42.485000+00:00,342,478,Jernbanetorget,Europarådets plass,59.911901,10.749929,452,Vippetangen vest,nærmest Rådhuset,59.903989,10.740627
2023-12-01 06:04:23.323000+00:00,2023-12-01 06:11:15.542000+00:00,412,480,Helga Helgesens plass,langs Grønlandsleiret,59.9121109,10.7661939,787,Kirkegata 15,ved Kunnskapsdepartamentet,59.91015615055511,10.743456971511705
2023-12-01 06:04:53.269000+00:00,2023-12-01 06:10:58.481000+00:00,365,380,Bentsebrugata,rett over busstoppet,59.93923,10.75917,434,Lindern,krysset ved Kirkeveien og Stensgata,59.9358883,10.7350062
2023-12-01 06:05:58.834000+00:00,2023-12-01 06:10:58.727000+00:00,299,443,Sjøsiden 1 ved trappen,to rader nærmest trappen,59.91014291324254,10.752003700187942,452,Vippetangen vest,nærmest Rådhuset,59.903989,10.740627
2023-12-01 06:06:05.903000+00:00,2023-12-01 06:16:47.364000+00:00,641,381,Grønlands torg,ved Tøyenbekken,59.91252,10.76224,447,Kværnerbyen,langs Smeltedigelen,59.904473,10.786167
2023-12-01 06:07:34.693000+00:00,2023-12-01 06:12:11.962000+00:00,277,603,Frogner plass,i rundkjøringen,59.9225392,10.7045406,746,Bygdøy allé,ved parkeringsplassen,59.919001,10.692321
2023-12-01 06:08:03.905000+00:00,2023-12-01 06:10:30.361000+00:00,146,440,Lakkegata,ved Sundtkvartalet,59.9172088,10.7622135,495,Vaterlandsparken,langs Brugata,59.91351552854147,10.757334670552268
2023-12-01 06:08:52.364000+00:00,2023-12-01 06:12:24.617000+00:00,212,514,Sofienberggata,ved Sars gate,59.9212063,10.7699892,424,Birkelunden,langs Seilduksgata,59.9256113,10.760926
2023-12-01 06:09:35.464000+00:00,2023-12-01 06:12:38.098000+00:00,182,460,Botanisk Hage sør,langs Jens Bjelkes gate,59.915417698024385,10.76933022142641,507,Jens Bjelkes Gate,ved Trondheimsveien,59.91914743024347,10.76412958416006
2023-12-01 06:09:57.259000+00:00,2023-12-01 06:19:58.473000+00:00,601,444,AHO,langs Maridalsveien,59.925265,10.750462,509,Kjeld Stubs gate,ved hjørnet Tordenskiolds gate,59.912711,10.735595
2023-12-01 06:10:10.668000+00:00,2023-12-01 06:15:10.796000+00:00,300,443,Sjøsiden 1 ved trappen,to rader nærmest trappen,59.91014291324254,10.752003700187942,452,Vippetangen vest,nærmest Rådhuset,59.903989,10.740627
2023-12-01 06:11:37.783000+00:00,2023-12-01 06:17:03.782000+00:00,325,746,Bygdøy allé,ved parkeringsplassen,59.919001,10.692321,559,Hoffsveien,ved Tingstuveien,59.923898,10.6760339
2023-12-01 06:13:48.178000+00:00,2023-12-01 06:22:13.267000+00:00,505,424,Birkelunden,langs Seilduksgata,59.9256113,10.760926,478,Jernbanetorget,Europarådets plass,59.911901,10.749929
2023-12-01 06:14:02.323000+00:00,2023-12-01 06:23:39.944000+00:00,577,583,Galgeberg,langs St. Halvards gate,59.90707579234818,10.779164402446728,452,Vippetangen vest,nærmest Rådhuset,59.903989,10.740627
2023-12-01 06:14:18.051000+00:00,2023-12-01 06:23:46.821000+00:00,568,424,Birkelunden,langs Seilduksgata,59.9256113,10.760926,408,Tøyen skole,forsiden av skolebygget,59.914943,10.773977
2023-12-01 06:16:05.736000+00:00,2023-12-01 06:25:53.883000+00:00,588,548,Colbjørnsens gate,ved Skovveien,59.91731888534716,10.716909039918278,528,Nedre Slottsgate,ved Grensen,59.913245,10.743669
2023-12-01 06:17:27.759000+00:00,2023-12-01 06:25:59.831000+00:00,512,399,Uelands gate,Ved Ulvetrappen (Ilatrappen),59.929545,10.7489862,2328,The Hub,Mellom Oslo City og The Hub hotel,59.912522370233745,10.750910185807754
2023-12-01 06:17:42.355000+00:00,2023-12-01 06:30:23.563000+00:00,761,485,Sommerfrydhagen,langs Jens Bjelkes gate,59.911453,10.776072,2280,Klingenberggata,By Olav V street,59.913150534075015,10.732281291700133
2023-12-01 06:17:47.646000+00:00,2023-12-01 06:28:22.346000+00:00,634,582,Stavangergata,ved Uelands gate,59.94114763297182,10.750775120272449,549,Linaaes gate,langs Møllergata,59.91382393242077,10.745704482209018
2023-12-01 06:17:48.862000+00:00,2023-12-01 06:29:03.424000+00:00,674,445,Sjølyst,Drammensveien ved rundkjøring,59.921673,10.67666,418,Norsk Folkemuseum,utenfor inngangen,59.907674,10.686843
2023-12-01 06:19:39.146000+00:00,2023-12-01 06:27:54.405000+00:00,495,516,Finnmarksgata,ved Telavåggata,59.922839,10.775658,574,Annette Thommessens Plass,langs Schweigaards gate,59.9107393,10.7609998
2023-12-01 06:19:49.845000+00:00,2023-12-01 06:25:39.716000+00:00,349,444,AHO,langs Maridalsveien,59.925265,10.750462,549,Linaaes gate,langs Møllergata,59.91382393242077,10.745704482209018
2023-12-01 06:19:53.030000+00:00,2023-12-01 06:28:03.614000+00:00,490,443,Sjøsiden 1 ved trappen,to rader nærmest trappen,59.91014291324254,10.752003700187942,1023,Professor Aschehougs plass,ved Kristian IVs gate,59.9147672,10.740971
